certificateType,registeredPersonNumber,accreditationCode,generationYear,generationState,startSerialNumber,endSerialNumber,fuelSource,ownerAccount,ownerAccountId,status
STC,16602,PVD2550562,2016,VIC,1,44,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Registered
STC,16602,PVD2555701,2016,VIC,1,37,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Registered
STC,16602,PVD2555826,2016,VIC,1,53,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Registered
STC,16602,PVD2556417,2016,VIC,1,84,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Registered
STC,16602,PVD2556406,2016,VIC,1,62,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Registered
STC,16602,PVD2556424,2016,VIC,1,56,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Registered
STC,16602,PVD2557246,2016,VIC,1,37,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Registered
STC,16602,PVD2557284,2016,VIC,1,37,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Registered
STC,16602,PVD2557285,2016,VIC,1,37,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Registered
STC,16602,PVD2557286,2016,VIC,1,37,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Registered
STC,16602,PVD2562677,2016,VIC,1,35,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Registered
STC,16602,PVD2562678,2016,VIC,1,37,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Registered
STC,16602,PVD2562679,2016,VIC,1,37,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Registered
STC,16602,PVD2562680,2016,VIC,1,37,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Registered
STC,16602,PVD2562715,2016,VIC,1,37,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Registered
STC,16602,PVD2562718,2016,VIC,1,47,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Registered
STC,16602,PVD2562722,2016,VIC,1,37,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Registered
STC,16602,PVD2562723,2016,VIC,1,37,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Registered
STC,16602,PVD2562724,2016,VIC,1,37,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Registered
STC,16602,PVD2562775,2016,VIC,1,37,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Registered
STC,16602,PVD2580031,2016,VIC,1,102,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Registered
STC,16602,PVD2580044,2016,VIC,1,56,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Registered
STC,16602,PVD2580103,2016,VIC,1,53,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Registered
STC,16602,PVD2580081,2016,VIC,1,58,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Registered
STC,16602,PVD2580051,2016,VIC,1,53,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Registered
STC,16602,PVD2580190,2016,VIC,1,53,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Registered
STC,16602,PVD2580216,2016,VIC,1,79,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Registered
STC,16602,PVD2550562,2016,VIC,1,44,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Pending transfer
STC,16602,PVD2555701,2016,VIC,1,37,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Pending transfer
STC,16602,PVD2555826,2016,VIC,1,53,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Pending transfer
STC,16602,PVD2556417,2016,VIC,1,84,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Pending transfer
STC,16602,PVD2556406,2016,VIC,1,62,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Pending transfer
STC,16602,PVD2556424,2016,VIC,1,56,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Pending transfer
STC,16602,PVD2557246,2016,VIC,1,37,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Pending transfer
STC,16602,PVD2557284,2016,VIC,1,37,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Pending transfer
STC,16602,PVD2557285,2016,VIC,1,37,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Pending transfer
STC,16602,PVD2557286,2016,VIC,1,37,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Pending transfer
STC,16602,PVD2562677,2016,VIC,1,35,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Pending transfer
STC,16602,PVD2562678,2016,VIC,1,37,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Pending transfer
STC,16602,PVD2562679,2016,VIC,1,37,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Pending transfer
STC,16602,PVD2562680,2016,VIC,1,37,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Pending transfer
STC,16602,PVD2562715,2016,VIC,1,37,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Pending transfer
STC,16602,PVD2562718,2016,VIC,1,47,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Pending transfer
STC,16602,PVD2562722,2016,VIC,1,37,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Pending transfer
STC,16602,PVD2562723,2016,VIC,1,37,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Pending transfer
STC,16602,PVD2562724,2016,VIC,1,37,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Pending transfer
STC,16602,PVD2562775,2016,VIC,1,37,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Pending transfer
STC,16602,PVD2580031,2016,VIC,1,102,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Pending transfer
STC,16602,PVD2580044,2016,VIC,1,56,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Pending transfer
STC,16602,PVD2580103,2016,VIC,1,53,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Pending transfer
STC,16602,PVD2580081,2016,VIC,1,58,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Pending transfer
STC,16602,PVD2580051,2016,VIC,1,53,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Pending transfer
STC,16602,PVD2580190,2016,VIC,1,53,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Pending transfer
STC,16602,PVD2580216,2016,VIC,1,79,S.G.U. - solar (deemed),Australian Environmental Exchange PTY LTD,38500,Pending transfer
LGC,19920,HYMCTA05,2016,TAS,3062,3507,Hydro,Frome Renewable Energy Pty Ltd,39824,Pending audit
STC,14986,PVD2584754,2016,NSW,1,557,S.G.U. - solar (deemed),ATTIA ENTERPRISE PTY LTD,31630,Pending audit
STC,10673,PVD2584750,2016,VIC,1,100,S.G.U. - solar (deemed),Trade In Green Pty Ltd,25062,Pending audit
STC,10673,PVD2584751,2016,QLD,1,126,S.G.U. - solar (deemed),Trade In Green Pty Ltd,25062,Pending audit
STC,10673,PVD2584706,2016,NSW,1,165,S.G.U. - solar (deemed),Trade In Green Pty Ltd,25062,Pending audit
STC,18874,PVD2566903,2016,NSW,1,41,S.G.U. - solar (deemed),Mocomo Pty Ltd,35962,Registered
STC,18874,PVD2580279,2016,VIC,1,88,S.G.U. - solar (deemed),Mocomo Pty Ltd,35962,Registered
STC,18874,PVD2564677,2016,NSW,1,41,S.G.U. - solar (deemed),Mocomo Pty Ltd,35962,Registered
STC,18874,PVD2581606,2016,SA,1,71,S.G.U. - solar (deemed),Mocomo Pty Ltd,35962,Registered
STC,11416,PVD2584707,2016,QLD,1,58,S.G.U. - solar (deemed),Halcol Energy Pty Ltd.,28568,Pending audit
STC,11731,PVD2581036,2016,QLD,1,105,S.G.U. - solar (deemed),CMP and DCM Pty Ltd ATF JDP Trust T/A FRASER COAST SOLAR CENTRE,29137,Pending STC clearing house sale
STC,11731,PVD2581036,2016,QLD,1,105,S.G.U. - solar (deemed),The Clean Energy Regulator,241,Invalid due to STC clearing house deficit
STC,11888,SW2579365,2016,QLD,1,29,S.W.H. - solar (deemed),CMP and DCM Pty Ltd ATF Solar Power Trust,29592,Pending STC clearing house sale
STC,11888,SW2579365,2016,QLD,1,29,S.W.H. - solar (deemed),The Clean Energy Regulator,241,Invalid due to STC clearing house deficit
LGC,95,HYMCNS06,2016,NSW,1,21,Hydro,Sydney Water Corporation,842,Registered
LGC,95,HYMCNS06,2016,NSW,22,27,Hydro,Sydney Water Corporation,842,Registered
LGC,95,HYMCNS06,2016,NSW,28,28,Hydro,Sydney Water Corporation,842,Registered
LGC,95,HYMCNS06,2016,NSW,29,30,Hydro,Sydney Water Corporation,842,Registered
LGC,95,HYMCNS06,2016,NSW,31,50,Hydro,Sydney Water Corporation,842,Registered
LGC,95,HYMCNS06,2016,NSW,51,72,Hydro,Sydney Water Corporation,842,Registered
LGC,95,HYMCNS06,2016,NSW,73,98,Hydro,Sydney Water Corporation,842,Registered
LGC,95,HYMCNS06,2016,NSW,99,113,Hydro,Sydney Water Corporation,842,Registered
LGC,21810,WD00SA18,2016,SA,77284,106897,Wind,HWF1 Pty Ltd,41789,Pending audit
STC,11992,RC2584567,2016,ACT,13558364,13559563,Regulator created (deemed),Energy and Management Services Pty Ltd,34832,Pending transfer
