certificateType,registeredPersonNumber,accreditationCode,generationYear,generationState,startSerialNumber,endSerialNumber,fuelSource,ownerAccount,ownerAccountId,status,certificateQuantity
STC,11773,PVD2577723,2016,NSW,1,107,S.G.U. - solar (deemed),Soltek Energy Pty Ltd,29296,Pending audit,1
STC,16688,PVD2577724,2016,WA,1,64,S.G.U. - solar (deemed),SOLA NOW PTY LTD,34003,Pending audit,1
STC,11773,PVD2577725,2016,NSW,1,107,S.G.U. - solar (deemed),Soltek Energy Pty Ltd,29296,Pending audit,1
STC,11773,PVD2577736,2016,NSW,1,107,S.G.U. - solar (deemed),Soltek Energy Pty Ltd,29296,Pending audit,1
STC,16688,PVD2577737,2016,WA,1,64,S.G.U. - solar (deemed),SOLA NOW PTY LTD,34003,Pending audit,1
STC,11773,PVD2577738,2016,NSW,1,212,S.G.U. - solar (deemed),Soltek Energy Pty Ltd,29296,Pending audit,1
STC,11773,PVD2577726,2016,NSW,1,106,S.G.U. - solar (deemed),Soltek Energy Pty Ltd,29296,Pending audit,1
STC,11773,PVD2577739,2016,NSW,1,106,S.G.U. - solar (deemed),Soltek Energy Pty Ltd,29296,Pending audit,1
STC,16688,PVD2577727,2016,SA,1,64,S.G.U. - solar (deemed),SOLA NOW PTY LTD,34003,Pending audit,1
STC,11773,PVD2577740,2016,NSW,1,107,S.G.U. - solar (deemed),Soltek Energy Pty Ltd,29296,Pending audit,1
STC,16688,PVD2577686,2016,WA,1,64,S.G.U. - solar (deemed),SOLA NOW PTY LTD,34003,Pending audit,1
STC,19336,PVD2499394,2016,NSW,1,41,S.G.U. - solar (deemed),Segco Pty Ltd ATF GNS Trust,38846,Pending transfer,1
STC,19336,PVD2499587,2016,NSW,1,414,S.G.U. - solar (deemed),Segco Pty Ltd ATF GNS Trust,38846,Pending transfer,1
STC,19336,PVD2499622,2016,NSW,1,103,S.G.U. - solar (deemed),Segco Pty Ltd ATF GNS Trust,38846,Pending transfer,1
STC,19336,PVD2499609,2016,NSW,1,10,S.G.U. - solar (deemed),Segco Pty Ltd ATF GNS Trust,38846,Pending transfer,1
STC,19336,PVD2499657,2016,NSW,1,62,S.G.U. - solar (deemed),Segco Pty Ltd ATF GNS Trust,38846,Pending transfer,1
STC,19336,PVD2499658,2016,NSW,1,20,S.G.U. - solar (deemed),Segco Pty Ltd ATF GNS Trust,38846,Pending transfer,1
